Case ID,Title,Pre-conditions,Step #,Step Description,Expected Result
C86452392,Administration - Enable/Disable - Disable Scan to Computer (WSD),,1,"Disabled the Scan to Computer function

- Access to EWS -> Security -> Printer Features.

- Uncheck the Scan to Computer function.

- Click on Apply button.

- Check for the Scan to Computer app from control panel.
Step applicable for Consumer devices with Scan to Computer.","Verify the Scan to Computer has disappeared from the front panel.
LED status, Sound and screen displays correctly."
C86452392,Administration - Enable/Disable - Disable Scan to Computer (WSD),,2,"Enabled the Scan to Computer function

- Access to EWS -> Security -> Printer Features.

- Checked the Scan to Computer function.

- Click on Apply button.

- Check for the Scan to Computer app from control panel.

- Perform a Scan to Computer from control panle.
Step applicable for Consumer devices with Scan to Computer.","Scan to Computer app appears on the front panel.
Scan to Computer job can be completed without error, and output is correctly.
LED status, Sound and screen displays correctly."
C86452392,Administration - Enable/Disable - Disable Scan to Computer (WSD),,3,"Disabled the Web Scan function

- Access to EWS -> Network -> Adcanced Settings > Remote Scan.

- Turn off Network Initiated Scanning, eSCL, eSCL Secure and Web Scan.

- Check Scan > Web Scan from EWS.
Step applicable for Consumer devices with Web Scan.","Verify the Web Scan has disabled from the front panel.
LED status, Sound and screen displays correctly."
C86452392,Administration - Enable/Disable - Disable Scan to Computer (WSD),,4,"Enabled the Web Scan function

- Access to EWS -> Network -> Adcanced Settings > Remote Scan.

- Turn On Network Initiated Scanning, eSCL, eSCL Secure and Web Scan.

- Check Scan > Web Scan from EWS.

- Perform a Web Scan from EWS.
Step applicable for Consumer devices with Web Scan.","Web Scan is enabled on EWS page.
Web Scan job can be completed without error, and output is correctly.
LED status, Sound and screen displays correctly."
C86452392,Administration - Enable/Disable - Disable Scan to Computer (WSD),,5,"Disabled the WSD function

- Access to EWS -> Network -> Adcanced Settings > Web Services (Microsoft).

- Turn off WS-Scan.

- Perform a WS-Scan job from PC (WSD).
Step applicable for Consumer devices with WSD.","Verify the WS-Scan has disabled and cannot perform from PC.
LED status, Sound and screen displays correctly."
C86452392,Administration - Enable/Disable - Disable Scan to Computer (WSD),,6,"Enabled the WSD function

- Access to EWS -> Network -> Adcanced Settings > Web Services (Microsoft).

- Turn On WS-Scan.

- Perform a WS-Scan job from PC (WSD).
Step applicable for Consumer devices with WSD.","WS-Scan is enabled on EWS page.
WS-Scan job can be completed without error, and output is correctly.
LED status, Sound and screen displays correctly."
C86452405,Core - Preview - Edit and Manipulate - support,"Pre-conditions :

- Device in ready state with latest build

- Feature is ready for testing",1,"Scan to USB ->Preview with default settings

- Load original file on glass.

- Insert USB thumb drive to printer.

- Perform Scan to USB preview job.",Verify the preview job completed without error.
C86452405,Core - Preview - Edit and Manipulate - support,,2,"Scan to USB ->Preview - Edit and Manipulate

- Follow above step, edit and Manipulate the preview.",Verify the preview Edit and Manipulate operation completed without error.
C86452405,Core - Preview - Edit and Manipulate - support,,3,"Scan to USB ->Preview with user configured settings

- Load original file on glass.

- Insert USB thumb drive to printer.

- Perform Scan to USB preview job.",Verify the preview job completed without error.
C86452405,Core - Preview - Edit and Manipulate - support,,4,"Scan to USB ->Preview - Edit and Manipulate

- Follow above step, edit and Manipulate the preview.",Verify the preview Edit and Manipulate operation completed without error.
C86452405,Core - Preview - Edit and Manipulate - support,,5,"Scan to Email ->Preview with default settings

- Load original file on glass.

- Perform Scan to Email preview job.",Verify the preview job completed without error.
C86452405,Core - Preview - Edit and Manipulate - support,,6,"Scan to Email ->Preview - Edit and Manipulate

- Follow above step, edit and Manipulate the preview.",Verify the preview Edit and Manipulate operation completed without error.
C86452405,Core - Preview - Edit and Manipulate - support,,7,"Scan to Email ->Preview with user configured settings

- Load original file on glass.

- Perform Scan to Email preview job.",Verify the preview job completed without error.
C86452405,Core - Preview - Edit and Manipulate - support,,8,"Scan to Email ->Preview - Edit and Manipulate

- Follow above step, edit and Manipulate the preview.",Verify the preview Edit and Manipulate operation completed without error.
C86452405,Core - Preview - Edit and Manipulate - support,,9,"Scan to Network Folder ->Preview with default settings

- Load original file on glass.

- Perform Scan to Network Folder preview job.",Verify the preview job completed without error.
C86452405,Core - Preview - Edit and Manipulate - support,,10,"Scan to Network Folder ->Preview - Edit and Manipulate

- Follow above step, edit and Manipulate the preview.",Verify the preview Edit and Manipulate operation completed without error.
C86452405,Core - Preview - Edit and Manipulate - support,,11,"Scan to Network Folder ->Preview with user configured settings

- Load original file on glass.

- Perform Scan to Network Folder preview job.",Verify the preview job completed without error.
C86452405,Core - Preview - Edit and Manipulate - support,,12,"Scan to Network Folder ->Preview - Edit and Manipulate

- Follow above step, edit and Manipulate the preview.",Verify the preview Edit and Manipulate operation completed without error.
C86452405,Core - Preview - Edit and Manipulate - support,,13,"Scan to SharePoint ->Preview with default settings

- Load original file on glass.

- Perform Scan to SharePoint preview job.",Verify the preview job completed without error.
C86452405,Core - Preview - Edit and Manipulate - support,,14,"Scan to SharePoint->Preview - Edit and Manipulate

- Follow above step, edit and Manipulate the preview.",Verify the preview Edit and Manipulate operation completed without error.
C86452405,Core - Preview - Edit and Manipulate - support,,15,"Scan to SharePoint ->Preview with user configured settings

- Load original file on glass.

- Perform Scan to SharePoint preview job.",Verify the preview job completed without error.
C86452405,Core - Preview - Edit and Manipulate - support,,16,"Scan to SharePoint->Preview - Edit and Manipulate

- Follow above step, edit and Manipulate the preview.",Verify the preview Edit and Manipulate operation completed without error.
C86452406,Core - Remote Scan - Scan to Computer - App Pull (WSD/EWS),"Pre-conditions:



- Device in ready state with latest build

- Feature is ready for testing",1,"Default HP Scan
- Inititate Scan from PC Software.
- Select Device.
- Send Scan job with default settings.","Scan job could do successfully.
Scan output saved on PC successfully.
Check scan output parameters like File Type, file size, Color Mode, etc which should match the settings.
Scan output quality should have no ghosting, no truncation, and no other unacceptable quality issues.
LED status, Sound and CGD displays correctly."
C86452406,Core - Remote Scan - Scan to Computer - App Pull (WSD/EWS),,2,"User configured HP Scan
- Inititate Scan from PC Software.
- Select Device.
- Send Scan job with user configured settings.","Scan job could do successfully.
Scan output saved on PC successfully.
Check scan output parameters like File Type, file size, Color Mode, etc which should match the settings.
Scan output quality should have no ghosting, no truncation, and no other unacceptable quality issues.
LED status, Sound and CGD displays correctly."
C86452406,Core - Remote Scan - Scan to Computer - App Pull (WSD/EWS),,3,"Default WSD Scan
- Inititate WSD Scan from WSD.
- Select Device.
- Send WSD Scan job with default settings.","Scan job could do successfully.
Scan output saved on PC successfully.
Check scan output parameters like File Type, file size, Color Mode, etc which should match the settings.
Scan output quality should have no ghosting, no truncation, and no other unacceptable quality issues.
LED status, Sound and CGD displays correctly."
C86452406,Core - Remote Scan - Scan to Computer - App Pull (WSD/EWS),,4,"User configured WSD Scan
- Inititate WSD Scan from WSD.
- Select Device.
- Send WSD Scan job with user configured settings.","Scan job could do successfully.
Scan output saved on PC successfully.
Check scan output parameters like File Type, file size, Color Mode, etc which should match the settings.
Scan output quality should have no ghosting, no truncation, and no other unacceptable quality issues.
LED status, Sound and CGD displays correctly."
