Case ID,Title,Pre-conditions,Step #,Step Description,Expected Result
C73842589,Walk-up Copy-Buttons-B/W Copy Button,"Pre-conditions : 



- Device in ready state with latest build 

- Feature is ready for testing",1,"B/W Copy Button press with Firmware default settings.
Note : Step applicable for Consumer devices with B/W Copy Button.","B/W Copy job with Button press is successful.
LED status, Sound and Number of copies displayed correctly."
C73842589,Walk-up Copy-Buttons-B/W Copy Button,,2,"B/W Copy Button press with user configured settings + Lighter/Darker - UI options.
Note : Step applicable for Consumer devices with B/W Copy Button.","B/W Copy job with Button press is successful as per user settings.
Number of copies can increase or decrease by button press(B/W Copy Button OR +- button, etc)
LED status, Sound and Number of copies displayed correctly."
C73842589,Walk-up Copy-Buttons-B/W Copy Button,,3,"B/W Copy Button press with user configured settings - EWS options.
Note : Step applicable for Consumer devices with B/W Copy Button.","B/W Copy job with Button press is successful as per user settings.
LED status, Sound and Number of copies displayed correctly."
C73842589,Walk-up Copy-Buttons-B/W Copy Button,,4,Check the copy output.,"Verify the output has no black lines, white lines, truncation, ghosting, or overlapping issue."
C73842589,Walk-up Copy-Buttons-B/W Copy Button,,5,Check the output margin.,"Make sure the margin on each side (top, bottom, left, and right) is controlled within 5mm. Any part exceeding this is considered a defect and should be reported."
C73842589,Walk-up Copy-Buttons-B/W Copy Button,,6,1. Touch Menu to enter to scale mode 100%.2. Short/Long press [+] and [-] button to increase or decrease the scale value.3. Check the ID Card button.,1) ID copy button should not flash. Refer to CR DUNE-276916
C73842589,Walk-up Copy-Buttons-B/W Copy Button,,7,1. Remove the paper from the tray. 2. Press color copy button once .3. Check the number counter and the printer's behavior.,"1) The number counter should increase 1 and start the copy job, then out of paper displays. Refer to CR DUNE-213803"
C73842589,Walk-up Copy-Buttons-B/W Copy Button,,8,1.Set the number counter to 20.2.Load one sheet of paper on tray.3.Touch Copy button to perform 20 pages copy job -> Out of Paper screen (Er/01) displays.4.Touch cancel button on Out of Paper screen (Er/01).5.Check the number counter on front panel.,1) The copy number counter should reset to 1 after the copy job cancelled. Refer to CR DUNE-295136
C73842589,Walk-up Copy-Buttons-B/W Copy Button,,9,"1. Make sure the wireless button is Off (Connected Ethernet or turn off wireless) and the printer is in idle state.2. Slide your finger across these three buttons: Wireless button, Resume button, Cancel button 1-3 times.3. Check the printer’s control panel.",1) The printer's control panel should behave normally without any hang issue.Refer to CR DUNE-294519
C73842589,Walk-up Copy-Buttons-B/W Copy Button,,10,1. Load two A4 original target on ADF and load some A4 paper in tray.2. Set the Collate to On from EWS and then perform the copy job from ADF with setting 2 copies.3. Check the number counter on FP.,1) The number counter should be decreased after printed two pages (one set of documents). Refer to CR /DUNE-280733
